"docid","ID","CONTR","weight"
1,1,"mexico",8
1,2,"india",4
1,3,"france",4
1,4,"china",5
1,5,"russia",5
1,6,"jamaica",NA
1,7,"madagascar",6
1,8,"columbia",NA
2,9,"nigeria",2
2,1,"mexico",NA
2,2,"india",3
2,3,"france",8
2,4,"china",4
2,5,"russia",4
2,6,"jamaica",1
2,7,"madagascar",2
3,8,"columbia",NA
3,9,"nigeria",NA
3,1,"mexico",18
3,2,"india",7
3,3,"france",4
3,4,"china",5
3,5,"russia",3
3,6,"jamaica",NA
4,7,"madagascar",10
4,8,"columbia",NA
4,9,"nigeria",3
4,1,"mexico",7
4,2,"india",5
4,3,"france",23
4,4,"china",6
4,5,"russia",2
5,6,"jamaica",NA
5,7,"madagascar",1
5,8,"columbia",NA
5,9,"nigeria",NA
5,1,"mexico",7
5,2,"india",3
5,3,"france",8
5,4,"china",7
7,5,"russia",2
7,6,"jamaica",NA
7,7,"madagascar",4
7,8,"columbia",NA
7,9,"nigeria",3
7,1,"mexico",NA
7,2,"india",NA
7,3,"france",NA
8,4,"china",NA
8,5,"russia",NA
8,6,"jamaica",NA
8,7,"madagascar",NA
8,8,"columbia",NA
8,9,"nigeria",NA
8,1,"mexico",2
8,2,"india",2
9,3,"france",NA
9,4,"china",2
9,5,"russia",NA
9,6,"jamaica",NA
9,7,"madagascar",NA
9,8,"columbia",NA
9,9,"nigeria",1
9,1,"mexico",94
10,2,"india",634
10,3,"france",259
10,4,"china",682
10,5,"russia",122
10,6,"jamaica",16
10,7,"madagascar",36
10,8,"columbia",20
10,9,"nigeria",11
